x,C3,C10,C25,C50,C75,C90,C97,mu,sigma,nu
59.7272727273,10.9459540959,13.016719563099999,15.539750308299999,18.9579076207,23.177052213200003,27.823144939299997,33.380631804699995,18.957946995845717,0.2963328808560458,-0.053077393698131914
61.9393939394,11.299426114400001,13.434043387400001,16.0283692673,19.5321569002,23.840636946700002,28.5657389642,34.1932924722,19.521883646509217,0.2939352371549535,-0.05527912611075069
64.15151515149999,11.652120610499999,13.850154961800001,16.5148874152,20.102614169000002,24.4978104319,29.2986549693,34.992205515,20.10259915191086,0.29230787650251244,-0.0295102807539123
66.3636363636,12.004035446500001,14.2650435328,16.999290442,20.6692794271,25.1486266371,30.022052971199997,35.7777131168,20.65976695758207,0.28998919045771765,-0.03029889143835273
68.5757575758,12.355168248,14.678698154700001,17.481564021,21.2321526743,25.7931382918,30.7360876784,36.5501425706,21.213212818584967,0.287704370381558,-0.030762047047464748
70.7878787879,12.705516400699999,15.0911076905,17.9616938108,21.7912339108,26.431396923,31.4409087146,37.309807098200004,21.762756570761297,0.2854481381528371,-0.031029369305382148
73.0,13.0550770478,15.5022608134,18.4396654573,22.3465231365,27.0634528892,32.1366608313,38.0570066151,22.308190414541393,0.28321025005741285,-0.03156252350240718
75.2121212121,13.4038470875,15.912146008099999,18.9154645956,22.8980203514,27.6893554132,32.8234841091,38.7920284451,22.898042496916332,0.28248328104002907,0.02956235398068209
77.4242424242,13.7518231696,16.3207515721,19.3890768526,23.4457255555,28.309152614499997,33.5015141493,39.5151479896,23.43655643550035,0.2802912170203469,0.029870602523585796
79.6363636364,14.099001694000002,16.7280656176,19.8604878487,23.9896387488,28.922891539899997,34.1708822553,40.2266293529,23.989631393925414,0.2786467988340512,0.053176875280210256
81.84848484850001,14.4453788071,17.1340760725,20.3296831997,24.529759931399997,29.530618193000002,34.831715605999996,40.9267259292,24.529790251351862,0.276747618996777,0.06499900382258322
84.06060606060001,14.7909504004,17.5387706827,20.7966485194,25.066089103099998,30.132377563600002,35.4841374197,41.6156809518,25.057671422069756,0.2746406651488792,0.06657158741731112
86.27272727270001,15.1357121072,17.9421370135,21.261369421199998,25.598626264099998,30.7282136546,36.128267110799996,42.2937280091,25.598617224102785,0.2729888003518587,0.0886029319508914
88.4848484848,15.479659301300002,18.344162451400003,21.72383152,26.127371414299997,31.3181695097,36.7642204389,42.961091528400004,26.11906132284575,0.27091804595917307,0.09041807568209453
90.69696969700001,15.8227870941,18.744834206,22.1840204348,26.6523245538,31.9022872386,37.3921096503,43.617987231099995,26.635695464839188,0.26886702970052323,0.09219381319566414
92.9090909091,16.165090333,19.144139312300002,22.64192179,27.1734856824,32.4806080427,38.0120436131,44.26462256,27.17348331643445,0.2674471486440919,0.12402931940081838
95.1212121212,16.5065635991,19.542064632,23.0975212178,27.690854800300002,33.053172239,38.6241279463,44.90119708180001,27.690842135378926,0.2656238595426289,0.13583767789984802
97.3333333333,16.8472012057,19.9385968564,23.550804360100003,28.204431907399997,33.620019283299996,39.2284651424,45.5279028654,28.204397335056573,0.26381436787016443,0.147625799258132
99.5454545455,17.1869971962,20.3337225081,24.0017568702,28.7142170037,34.1811877936,39.825154684699996,46.1449248392,28.70578444299497,0.2618270058397838,0.1494911700698402
101.75757575760001,17.5259453429,20.7274279431,24.450364415,29.220210089200002,34.7367155715,40.414293159,46.7524411264,29.20227991455328,0.259834517237689,0.15017996823672358
103.9696969697,17.8640391447,21.119699353599998,24.896612676799997,29.722411164,35.2866396234,40.9959743602,47.3506233628,29.72240638113415,0.2584575217348945,0.18307863515198924
106.1818181818,18.2012718265,21.51052277,25.340487355100002,30.2208202279,35.8309961815,41.5702893947,47.9396369957,30.22083606405576,0.2566969729426285,0.19489730073303013
108.3939393939,18.5376363374,21.899884063400002,25.7819741687,30.7154372811,36.369820723400004,42.1373267774,48.5196415665,30.715456200327356,0.2549471651554951,0.20670199937915884
110.6060606061,18.873125349400002,22.287768948000004,26.2210588571,31.2062623235,36.9031479914,42.6971725251,49.0907909775,31.206216894736038,0.2532096567558162,0.21848875180215482
112.8181818182,19.207731256600002,22.6741629837,26.6577271829,31.6932953552,37.4310120111,43.2499102453,49.6532337443,31.69332816514806,0.2514846122804669,0.23033308618105092
